DayPI,DuckID,Strain,CloacaVirus,OropharyngeaVirus
5,20,H6N1,5.2428795,3.519804493
6,20,H6N1,NA,NA
7,20,H6N1,5.277770427,0
8,20,H6N1,NA,NA
9,20,H6N1,4.01901314,0
10,20,H6N1,NA,NA
11,20,H6N1,0,0
12,20,H6N1,NA,NA
13,20,H6N1,NA,NA
14,20,H6N1,0,0
1,21,H4N6*,7.671824798,5.165045894
2,21,H4N6*,6.571418641,5.009378681
3,21,H4N6*,6.447958438,5.2428795
4,21,H4N6*,7.314863776,4.896654148
5,21,H4N6*,5.108683627,3.576166759
6,21,H4N6*,NA,NA
7,21,H4N6*,3.801615826,3.401712125
8,21,H4N6*,NA,NA
9,21,H4N6*,4.78929745,2.556278126
10,21,H4N6*,NA,NA
11,21,H4N6*,0,0
12,21,H4N6*,NA,NA
13,21,H4N6*,NA,NA
14,21,H4N6*,0,0
1,22,H4N6*,4.464543437,4.837607964
2,22,H4N6*,6.523108127,4.593371475
3,22,H4N6*,6.413067511,4.188099939
4,22,H4N6*,6.61436132,4.013645305
5,22,H4N6*,6.405015759,3.643264696
6,22,H4N6*,NA,NA
7,22,H4N6*,3.844558505,2.153690507
8,22,H4N6*,NA,NA
9,22,H4N6*,3.170895223,0
10,22,H4N6*,NA,NA
11,22,H4N6*,0,0
12,22,H4N6*,NA,NA
13,22,H4N6*,NA,NA
14,22,H4N6*,3.302407179,0
1,23,H4N6*,7.392697383,5.385127125
2,23,H4N6*,6.45601019,5.127471049
3,23,H4N6*,5.723300725,4.971803837
4,23,H4N6*,6.982058012,4.469911272
5,23,H4N6*,5.790398661,3.640580778
6,23,H4N6*,NA,NA
7,23,H4N6*,5.473696401,4.035116644
8,23,H4N6*,NA,NA
9,23,H4N6*,3.664736035,0
10,23,H4N6*,NA,NA
11,23,H4N6*,3.060854608,0
12,23,H4N6*,NA,NA
13,23,H4N6*,NA,NA
14,23,H4N6*,2.416714418,0
1,24,H4N6*,6.759292863,5.079160535
2,24,H4N6*,5.932646286,5.0737927
3,24,H4N6*,6.085629581,5.366339703
4,24,H4N6*,6.02389948,5.103315792
5,24,H4N6*,5.881651855,5.240195582
6,24,H4N6*,NA,NA
7,24,H4N6*,3.925076029,0
8,24,H4N6*,NA,NA
9,24,H4N6*,4.252513958,0
10,24,H4N6*,NA,NA
11,24,H4N6*,4.730251266,2.113431745
12,24,H4N6*,NA,NA
13,24,H4N6*,NA,NA
14,24,H4N6*,0,0
1,25,H4N6*,5.860180515,4.848343634
2,25,H4N6*,6.037319067,4.606791063
3,25,H4N6*,5.567633512,5.025482186
4,25,H4N6*,6.074893911,4.558480548
5,25,H4N6*,5.285822179,3.119900792
6,25,H4N6*,NA,NA
7,25,H4N6*,3.611057686,2.717313173
8,25,H4N6*,NA,NA
9,25,H4N6*,2.45697318,0
10,25,H4N6*,NA,NA
11,25,H4N6*,0,0
12,25,H4N6*,NA,NA
13,25,H4N6*,NA,NA
14,25,H4N6*,0,0
1,26,H3N8*,0,0
2,26,H3N8*,6.501636787,4.15589293
3,26,H3N8*,5.905807112,4.883234561
4,26,H3N8*,6.957902755,4.711463843
5,26,H3N8*,5.640099283,4.432336428
6,26,H3N8*,NA,NA
7,26,H3N8*,6.676091422,2.859560798
8,26,H3N8*,NA,NA
9,26,H3N8*,3.801615826,2.397926996
10,26,H3N8*,NA,NA
11,26,H3N8*,3.645948613,0
12,26,H3N8*,NA,NA
13,26,H3N8*,NA,NA
14,26,H3N8*,0,0
1,27,H3N8*,2.59385297,3.450022639
2,27,H3N8*,7.191403573,3.930443864
3,27,H3N8*,7.118937802,4.853711469
4,27,H3N8*,5.943381956,4.469911272
5,27,H3N8*,6.842494304,4.475279107
6,27,H3N8*,NA,NA
7,27,H3N8*,3.050118938,2.204684939
8,27,H3N8*,NA,NA
9,27,H3N8*,2.46770885,2.263731123
10,27,H3N8*,NA,NA
11,27,H3N8*,2.669002659,2.250311536
12,27,H3N8*,NA,NA
13,27,H3N8*,NA,NA
14,27,H3N8*,0,0
1,28,H3N8*,6.233245041,0
2,28,H3N8*,6.243980711,4.426968593
3,28,H3N8*,6.547263384,4.961068167
4,28,H3N8*,5.868232267,4.883234561
5,28,H3N8*,6.031951232,3.581534594
6,28,H3N8*,NA,NA
7,28,H3N8*,2.516019364,0
8,28,H3N8*,NA,NA
9,28,H3N8*,0,0
10,28,H3N8*,NA,NA
11,28,H3N8*,0,2.301305967
12,28,H3N8*,NA,NA
13,28,H3N8*,NA,NA
14,28,H3N8*,0,0
1,29,H3N8*,2.338880812,0
2,29,H3N8*,6.863965644,4.582635806
3,29,H3N8*,7.148460894,6.576786476
4,29,H3N8*,6.348653492,5.240195582
5,29,H3N8*,6.600941733,4.585319723
6,29,H3N8*,NA,NA
7,29,H3N8*,3.98680613,0
8,29,H3N8*,NA,NA
9,29,H3N8*,3.586902429,0
10,29,H3N8*,NA,NA
11,29,H3N8*,0,0
12,29,H3N8*,NA,NA
13,29,H3N8*,NA,NA
14,29,H3N8*,0,2.666318742
1,30,H3N8*,2.776359357,3.458074391
2,30,H3N8*,4.998643011,4.14515726
3,30,H3N8*,6.673407504,5.22140816
4,30,H3N8*,7.298760272,4.059271902
5,30,H3N8*,7.041104196,4.000225717
6,30,H3N8*,NA,NA
7,30,H3N8*,0,2.738784513
8,30,H3N8*,NA,NA
9,30,H3N8*,0,0
10,30,H3N8*,NA,NA
11,30,H3N8*,0,2.905187395
12,30,H3N8*,NA,NA
13,30,H3N8*,NA,NA
14,30,H3N8*,0,0
1,31,H6N2,0,4.45112385
2,31,H6N2,0,2.728048843
3,31,H6N2,6.539211632,3.060854608
4,31,H6N2,4.435020345,0
5,31,H6N2,4.429652511,0
6,31,H6N2,NA,NA
7,31,H6N2,5.52737475,0
8,31,H6N2,NA,NA
9,31,H6N2,4.190783857,3.611057686
10,31,H6N2,NA,NA
11,31,H6N2,0,0
12,31,H6N2,NA,NA
13,31,H6N2,NA,NA
14,31,H6N2,0,0
1,32,H6N2,0,4.475279107
2,32,H6N2,5.363655785,0
3,32,H6N2,4.730251266,0
4,32,H6N2,5.970221131,0
5,32,H6N2,5.071108783,0
6,32,H6N2,NA,NA
7,32,H6N2,4.00827747,0
8,32,H6N2,NA,NA
9,32,H6N2,2.631427815,0
10,32,H6N2,NA,NA
11,32,H6N2,0,0
12,32,H6N2,NA,NA
13,32,H6N2,NA,NA
14,32,H6N2,0,0
1,33,H6N2,0,4.520905704
2,33,H6N2,0,0
3,33,H6N2,6.227877207,0
4,33,H6N2,4.459175603,0
5,33,H6N2,4.770510028,0
6,33,H6N2,NA,NA
7,33,H6N2,4.561164466,3.825771083
8,33,H6N2,NA,NA
9,33,H6N2,4.518221787,2.156374425
10,33,H6N2,NA,NA
11,33,H6N2,0,0
12,33,H6N2,NA,NA
13,33,H6N2,NA,NA
14,33,H6N2,0,0
1,34,H6N2,0,4.808084872
2,34,H6N2,2.867612551,0
3,34,H6N2,6.608993485,0
4,34,H6N2,4.864447139,0
5,34,H6N2,5.589104852,0
6,34,H6N2,NA,NA
7,34,H6N2,7.277288932,0
8,34,H6N2,NA,NA
9,34,H6N2,4.469911272,0
10,34,H6N2,NA,NA
11,34,H6N2,0,0
12,34,H6N2,NA,NA
13,34,H6N2,NA,NA
14,34,H6N2,2.867612551,0
